nummer,namn,naringsnamn,gruppering,mangd,enhet
49,Dressing fett 0%,Vitamin D inkl 25-OH-D3,Sås dressing majonnäs ,0.0,µg
49,Dressing fett 0%,Vitamin D,Sås dressing majonnäs ,0.0,µg
49,Dressing fett 0%,Vitamin C,Sås dressing majonnäs ,0.0,mg
49,Dressing fett 0%,Vitamin B6,Sås dressing majonnäs ,0.0,mg
49,Dressing fett 0%,Vitamin B12,Sås dressing majonnäs ,0.0,µg
49,Dressing fett 0%,Vitamin A,Sås dressing majonnäs ,1.0,RE/µg
49,Dressing fett 0%,Vatten,Sås dressing majonnäs ,80.0,g
49,Dressing fett 0%,Tiamin,Sås dressing majonnäs ,0.0,mg
49,Dressing fett 0%,Tillsatt socker,Sås dressing majonnäs ,10.0,g
49,Dressing fett 0%,Fritt socker,Sås dressing majonnäs ,10.0,g
49,Dressing fett 0%,"Selen, Se",Sås dressing majonnäs ,0.0,µg
49,Dressing fett 0%,Sackaros,Sås dressing majonnäs ,9.2,g
49,Dressing fett 0%,Riboflavin,Sås dressing majonnäs ,0.0,mg
49,Dressing fett 0%,Retinol,Sås dressing majonnäs ,1.0,µg
49,Dressing fett 0%,Protein,Sås dressing majonnäs ,1.6,g
49,Dressing fett 0%,Summa fleromättade fettsyror,Sås dressing majonnäs ,0.0,g
49,Dressing fett 0%,"Fosfor, P",Sås dressing majonnäs ,5.0,mg
49,Dressing fett 0%,Niacinekvivalenter,Sås dressing majonnäs ,0.27,NE/mg
49,Dressing fett 0%,Niacin,Sås dressing majonnäs ,0.0,mg
49,Dressing fett 0%,"Salt, NaCl",Sås dressing majonnäs ,0.4,g
49,Dressing fett 0%,"Natrium, Na",Sås dressing majonnäs ,150.0,mg
49,Dressing fett 0%,Monosackarider,Sås dressing majonnäs ,1.2,g
49,Dressing fett 0%,"Sockerarter, totalt",Sås dressing majonnäs ,10.4,g
49,Dressing fett 0%,Summa enkelomättade fettsyror,Sås dressing majonnäs ,0.0,g
49,Dressing fett 0%,"Magnesium, Mg",Sås dressing majonnäs ,3.0,mg
49,Dressing fett 0%,Summa mättade fettsyror,Sås dressing majonnäs ,0.0,g
49,Dressing fett 0%,"Kolhydrater, tillgängliga",Sås dressing majonnäs ,13.1,g
49,Dressing fett 0%,Kolesterol,Sås dressing majonnäs ,0.0,mg
49,Dressing fett 0%,"Kalium, K",Sås dressing majonnäs ,21.0,mg
49,Dressing fett 0%,"Jod, I",Sås dressing majonnäs ,0.0,µg
49,Dressing fett 0%,Fullkorn totalt,Sås dressing majonnäs ,0.0,g
49,Dressing fett 0%,"Folat, totalt",Sås dressing majonnäs ,0.0,µg
49,Dressing fett 0%,Fibrer,Sås dressing majonnäs ,0.0,g
49,Dressing fett 0%,"Fett, totalt",Sås dressing majonnäs ,0.0,g
49,Dressing fett 0%,"Järn, Fe",Sås dressing majonnäs ,0.5,mg
49,Dressing fett 0%,Energi (kJ),Sås dressing majonnäs ,250.0,kJ
49,Dressing fett 0%,Energi (kcal),Sås dressing majonnäs ,60.0,kcal
49,Dressing fett 0%,Disackarider,Sås dressing majonnäs ,9.2,g
49,Dressing fett 0%,"Kalcium, Ca",Sås dressing majonnäs ,13.0,mg
49,Dressing fett 0%,Fettsyra 4:0-10:0,Sås dressing majonnäs ,0.0,g
49,Dressing fett 0%,DHA (C22:6),Sås dressing majonnäs ,0.0,g
49,Dressing fett 0%,DPA (C22:5),Sås dressing majonnäs ,0.0,g
49,Dressing fett 0%,EPA (C20:5),Sås dressing majonnäs ,0.0,g
49,Dressing fett 0%,Arakidonsyra C20:4,Sås dressing majonnäs ,0.0,g
49,Dressing fett 0%,Arakidinsyra C20:0,Sås dressing majonnäs ,0.0,g
49,Dressing fett 0%,Linolensyra C18:3,Sås dressing majonnäs ,0.0,g
49,Dressing fett 0%,Linolsyra C18:2,Sås dressing majonnäs ,0.0,g
49,Dressing fett 0%,Oljesyra C18:1,Sås dressing majonnäs ,0.0,g
49,Dressing fett 0%,Stearinsyra C18:0,Sås dressing majonnäs ,0.0,g
49,Dressing fett 0%,Palmitoljesyra C16:1,Sås dressing majonnäs ,0.0,g
49,Dressing fett 0%,Palmitinsyra C16:0,Sås dressing majonnäs ,0.0,g
49,Dressing fett 0%,Myristinsyra C14:0,Sås dressing majonnäs ,0.0,g
49,Dressing fett 0%,Laurinsyra C12:0,Sås dressing majonnäs ,0.0,g
49,Dressing fett 0%,Betakaroten/β-Karoten,Sås dressing majonnäs ,0.0,µg
49,Dressing fett 0%,Avfall (skal etc.),Sås dressing majonnäs ,0.0,%
49,Dressing fett 0%,Aska,Sås dressing majonnäs ,5.3,g
49,Dressing fett 0%,Alkohol,Sås dressing majonnäs ,0.0,g
50,Majonnäs fett 80%,"Zink, Zn",Sås dressing majonnäs ,0.2,mg
50,Majonnäs fett 80%,Vitamin E,Sås dressing majonnäs ,19.3,mg
50,Majonnäs fett 80%,Vitamin D,Sås dressing majonnäs ,0.21,µg
50,Majonnäs fett 80%,Vitamin C,Sås dressing majonnäs ,0.0,mg
50,Majonnäs fett 80%,Vitamin B6,Sås dressing majonnäs ,0.0,mg
50,Majonnäs fett 80%,Vitamin B12,Sås dressing majonnäs ,0.33,µg
50,Majonnäs fett 80%,Vitamin A,Sås dressing majonnäs ,18.9,RE/µg
50,Majonnäs fett 80%,Vatten,Sås dressing majonnäs ,20.2,g
50,Majonnäs fett 80%,Tiamin,Sås dressing majonnäs ,0.01,mg
50,Majonnäs fett 80%,Tillsatt socker,Sås dressing majonnäs ,2.0,g
50,Majonnäs fett 80%,Fritt socker,Sås dressing majonnäs ,2.0,g
50,Majonnäs fett 80%,"Selen, Se",Sås dressing majonnäs ,0.0,µg
50,Majonnäs fett 80%,Sackaros,Sås dressing majonnäs ,1.5,g
50,Majonnäs fett 80%,Riboflavin,Sås dressing majonnäs ,0.04,mg
50,Majonnäs fett 80%,Retinol,Sås dressing majonnäs ,17.3,µg
50,Majonnäs fett 80%,Protein,Sås dressing majonnäs ,1.3,g
50,Majonnäs fett 80%,Summa fleromättade fettsyror,Sås dressing majonnäs ,20.2,g
50,Majonnäs fett 80%,"Fosfor, P",Sås dressing majonnäs ,29.0,mg
50,Majonnäs fett 80%,Niacinekvivalenter,Sås dressing majonnäs ,0.3,NE/mg
50,Majonnäs fett 80%,Niacin,Sås dressing majonnäs ,0.0,mg
50,Majonnäs fett 80%,"Salt, NaCl",Sås dressing majonnäs ,1.1,g
50,Majonnäs fett 80%,"Natrium, Na",Sås dressing majonnäs ,437.0,mg
50,Majonnäs fett 80%,Monosackarider,Sås dressing majonnäs ,0.0,g
50,Majonnäs fett 80%,"Sockerarter, totalt",Sås dressing majonnäs ,1.5,g
50,Majonnäs fett 80%,Summa enkelomättade fettsyror,Sås dressing majonnäs ,43.7,g
50,Majonnäs fett 80%,"Magnesium, Mg",Sås dressing majonnäs ,2.0,mg
50,Majonnäs fett 80%,Summa mättade fettsyror,Sås dressing majonnäs ,5.0,g
50,Majonnäs fett 80%,"Kolhydrater, tillgängliga",Sås dressing majonnäs ,5.0,g
50,Majonnäs fett 80%,Kolesterol,Sås dressing majonnäs ,40.3,mg
50,Majonnäs fett 80%,"Kalium, K",Sås dressing majonnäs ,37.0,mg
50,Majonnäs fett 80%,"Jod, I",Sås dressing majonnäs ,0.0,µg
50,Majonnäs fett 80%,Fullkorn totalt,Sås dressing majonnäs ,0.0,g
50,Majonnäs fett 80%,"Folat, totalt",Sås dressing majonnäs ,2.8,µg
50,Majonnäs fett 80%,Fibrer,Sås dressing majonnäs ,0.0,g
50,Majonnäs fett 80%,"Fett, totalt",Sås dressing majonnäs ,72.4,g
50,Majonnäs fett 80%,"Järn, Fe",Sås dressing majonnäs ,0.3,mg
50,Majonnäs fett 80%,Energi (kJ),Sås dressing majonnäs ,2786.0,kJ
50,Majonnäs fett 80%,Energi (kcal),Sås dressing majonnäs ,666.0,kcal
50,Majonnäs fett 80%,Disackarider,Sås dressing majonnäs ,1.5,g
50,Majonnäs fett 80%,"Kalcium, Ca",Sås dressing majonnäs ,8.0,mg
50,Majonnäs fett 80%,Fettsyra 4:0-10:0,Sås dressing majonnäs ,0.0,g
50,Majonnäs fett 80%,DHA (C22:6),Sås dressing majonnäs ,0.0,g
50,Majonnäs fett 80%,DPA (C22:5),Sås dressing majonnäs ,0.0,g
50,Majonnäs fett 80%,EPA (C20:5),Sås dressing majonnäs ,0.0,g
50,Majonnäs fett 80%,Arakidonsyra C20:4,Sås dressing majonnäs ,0.0,g
50,Majonnäs fett 80%,Arakidinsyra C20:0,Sås dressing majonnäs ,0.4,g
50,Majonnäs fett 80%,Linolensyra C18:3,Sås dressing majonnäs ,6.5,g
50,Majonnäs fett 80%,Linolsyra C18:2,Sås dressing majonnäs ,13.7,g
50,Majonnäs fett 80%,Oljesyra C18:1,Sås dressing majonnäs ,42.4,g
50,Majonnäs fett 80%,Stearinsyra C18:0,Sås dressing majonnäs ,1.0,g
50,Majonnäs fett 80%,Palmitoljesyra C16:1,Sås dressing majonnäs ,0.2,g
50,Majonnäs fett 80%,Palmitinsyra C16:0,Sås dressing majonnäs ,3.4,g
50,Majonnäs fett 80%,Myristinsyra C14:0,Sås dressing majonnäs ,0.0,g
50,Majonnäs fett 80%,Laurinsyra C12:0,Sås dressing majonnäs ,0.0,g
50,Majonnäs fett 80%,Betakaroten/β-Karoten,Sås dressing majonnäs ,20.0,µg
50,Majonnäs fett 80%,Avfall (skal etc.),Sås dressing majonnäs ,0.0,%
50,Majonnäs fett 80%,Aska,Sås dressing majonnäs ,1.0,g
50,Majonnäs fett 80%,Alkohol,Sås dressing majonnäs ,0.0,g
51,Gurkmajonnäs gurksallad gatukök,"Zink, Zn",Majonnässallad röror,0.2,mg
51,Gurkmajonnäs gurksallad gatukök,Vitamin E,Majonnässallad röror,2.1,mg
51,Gurkmajonnäs gurksallad gatukök,Vitamin D inkl 25-OH-D3,Majonnässallad röror,0.0,µg
51,Gurkmajonnäs gurksallad gatukök,Vitamin D,Majonnässallad röror,0.0,µg
51,Gurkmajonnäs gurksallad gatukök,Vitamin C,Majonnässallad röror,0.0,mg
51,Gurkmajonnäs gurksallad gatukök,Vitamin B6,Majonnässallad röror,0.01,mg
51,Gurkmajonnäs gurksallad gatukök,Vitamin B12,Majonnässallad röror,0.2,µg
51,Gurkmajonnäs gurksallad gatukök,Vitamin A,Majonnässallad röror,79.2,RE/µg
51,Gurkmajonnäs gurksallad gatukök,Vatten,Majonnässallad röror,54.0,g
51,Gurkmajonnäs gurksallad gatukök,Tiamin,Majonnässallad röror,0.0,mg
51,Gurkmajonnäs gurksallad gatukök,Tillsatt socker,Majonnässallad röror,10.0,g
51,Gurkmajonnäs gurksallad gatukök,Fritt socker,Majonnässallad röror,10.0,g
51,Gurkmajonnäs gurksallad gatukök,"Selen, Se",Majonnässallad röror,0.4,µg
51,Gurkmajonnäs gurksallad gatukök,Sackaros,Majonnässallad röror,4.6,g
51,Gurkmajonnäs gurksallad gatukök,Riboflavin,Majonnässallad röror,0.01,mg
51,Gurkmajonnäs gurksallad gatukök,Retinol,Majonnässallad röror,60.0,µg
51,Gurkmajonnäs gurksallad gatukök,Protein,Majonnässallad röror,0.8,g
51,Gurkmajonnäs gurksallad gatukök,Summa fleromättade fettsyror,Majonnässallad röror,13.5,g
51,Gurkmajonnäs gurksallad gatukök,"Fosfor, P",Majonnässallad röror,50.0,mg
51,Gurkmajonnäs gurksallad gatukök,Niacinekvivalenter,Majonnässallad röror,0.54,NE/mg
51,Gurkmajonnäs gurksallad gatukök,Niacin,Majonnässallad röror,0.34,mg
51,Gurkmajonnäs gurksallad gatukök,"Salt, NaCl",Majonnässallad röror,0.5,g
51,Gurkmajonnäs gurksallad gatukök,"Natrium, Na",Majonnässallad röror,187.0,mg
51,Gurkmajonnäs gurksallad gatukök,Monosackarider,Majonnässallad röror,5.6,g
51,Gurkmajonnäs gurksallad gatukök,"Sockerarter, totalt",Majonnässallad röror,10.2,g
51,Gurkmajonnäs gurksallad gatukök,Summa enkelomättade fettsyror,Majonnässallad röror,13.2,g
51,Gurkmajonnäs gurksallad gatukök,"Magnesium, Mg",Majonnässallad röror,10.0,mg
51,Gurkmajonnäs gurksallad gatukök,Summa mättade fettsyror,Majonnässallad röror,3.8,g
51,Gurkmajonnäs gurksallad gatukök,"Kolhydrater, tillgängliga",Majonnässallad röror,10.9,g
51,Gurkmajonnäs gurksallad gatukök,Kolesterol,Majonnässallad röror,48.0,mg
51,Gurkmajonnäs gurksallad gatukök,"Kalium, K",Majonnässallad röror,24.0,mg
51,Gurkmajonnäs gurksallad gatukök,"Jod, I",Majonnässallad röror,1.6,µg
51,Gurkmajonnäs gurksallad gatukök,Fullkorn totalt,Majonnässallad röror,0.0,g
51,Gurkmajonnäs gurksallad gatukök,"Folat, totalt",Majonnässallad röror,12.8,µg
51,Gurkmajonnäs gurksallad gatukök,Fibrer,Majonnässallad röror,1.1,g
51,Gurkmajonnäs gurksallad gatukök,"Fett, totalt",Majonnässallad röror,32.0,g
51,Gurkmajonnäs gurksallad gatukök,"Järn, Fe",Majonnässallad röror,0.6,mg
51,Gurkmajonnäs gurksallad gatukök,Energi (kJ),Majonnässallad röror,1392.0,kJ
51,Gurkmajonnäs gurksallad gatukök,Energi (kcal),Majonnässallad röror,333.0,kcal
51,Gurkmajonnäs gurksallad gatukök,Disackarider,Majonnässallad röror,4.6,g
51,Gurkmajonnäs gurksallad gatukök,"Kalcium, Ca",Majonnässallad röror,24.0,mg
51,Gurkmajonnäs gurksallad gatukök,Fettsyra 4:0-10:0,Majonnässallad röror,0.0,g
51,Gurkmajonnäs gurksallad gatukök,DHA (C22:6),Majonnässallad röror,0.0,g
51,Gurkmajonnäs gurksallad gatukök,DPA (C22:5),Majonnässallad röror,0.0,g
51,Gurkmajonnäs gurksallad gatukök,EPA (C20:5),Majonnässallad röror,0.0,g
51,Gurkmajonnäs gurksallad gatukök,Arakidonsyra C20:4,Majonnässallad röror,0.0,g
51,Gurkmajonnäs gurksallad gatukök,Arakidinsyra C20:0,Majonnässallad röror,0.2,g
51,Gurkmajonnäs gurksallad gatukök,Linolensyra C18:3,Majonnässallad röror,2.4,g
51,Gurkmajonnäs gurksallad gatukök,Linolsyra C18:2,Majonnässallad röror,11.1,g
51,Gurkmajonnäs gurksallad gatukök,Oljesyra C18:1,Majonnässallad röror,12.8,g
51,Gurkmajonnäs gurksallad gatukök,Stearinsyra C18:0,Majonnässallad röror,0.9,g
51,Gurkmajonnäs gurksallad gatukök,Palmitoljesyra C16:1,Majonnässallad röror,0.1,g
51,Gurkmajonnäs gurksallad gatukök,Palmitinsyra C16:0,Majonnässallad röror,2.5,g
51,Gurkmajonnäs gurksallad gatukök,Myristinsyra C14:0,Majonnässallad röror,0.0,g
51,Gurkmajonnäs gurksallad gatukök,Laurinsyra C12:0,Majonnässallad röror,0.0,g
51,Gurkmajonnäs gurksallad gatukök,Betakaroten/β-Karoten,Majonnässallad röror,230.0,µg
51,Gurkmajonnäs gurksallad gatukök,Avfall (skal etc.),Majonnässallad röror,0.0,%
51,Gurkmajonnäs gurksallad gatukök,Aska,Majonnässallad röror,1.2,g
51,Gurkmajonnäs gurksallad gatukök,Alkohol,Majonnässallad röror,0.0,g
52,Räkmajonnäs räksallad gatukök,"Zink, Zn",Majonnässallad röror,0.3,mg
52,Räkmajonnäs räksallad gatukök,Vitamin E,Majonnässallad röror,3.2,mg
52,Räkmajonnäs räksallad gatukök,Vitamin D,Majonnässallad röror,0.12,µg
52,Räkmajonnäs räksallad gatukök,Vitamin C,Majonnässallad röror,0.0,mg
52,Räkmajonnäs räksallad gatukök,Vitamin B6,Majonnässallad röror,0.07,mg
52,Räkmajonnäs räksallad gatukök,Vitamin B12,Majonnässallad röror,1.0,µg
52,Räkmajonnäs räksallad gatukök,Vitamin A,Majonnässallad röror,93.0,RE/µg
52,Räkmajonnäs räksallad gatukök,Vatten,Majonnässallad röror,42.5,g
52,Räkmajonnäs räksallad gatukök,Tiamin,Majonnässallad röror,0.01,mg
52,Räkmajonnäs räksallad gatukök,Tillsatt socker,Majonnässallad röror,1.0,g
52,Räkmajonnäs räksallad gatukök,Fritt socker,Majonnässallad röror,1.0,g
52,Räkmajonnäs räksallad gatukök,"Selen, Se",Majonnässallad röror,4.5,µg
52,Räkmajonnäs räksallad gatukök,Sackaros,Majonnässallad röror,1.2,g
52,Räkmajonnäs räksallad gatukök,Riboflavin,Majonnässallad röror,0.03,mg
52,Räkmajonnäs räksallad gatukök,Retinol,Majonnässallad röror,93.0,µg
52,Räkmajonnäs räksallad gatukök,Protein,Majonnässallad röror,5.2,g
52,Räkmajonnäs räksallad gatukök,Summa fleromättade fettsyror,Majonnässallad röror,20.4,g
52,Räkmajonnäs räksallad gatukök,"Fosfor, P",Majonnässallad röror,71.0,mg
52,Räkmajonnäs räksallad gatukök,Niacinekvivalenter,Majonnässallad röror,1.7,NE/mg
52,Räkmajonnäs räksallad gatukök,Niacin,Majonnässallad röror,0.4,mg
52,Räkmajonnäs räksallad gatukök,"Salt, NaCl",Majonnässallad röror,1.0,g
52,Räkmajonnäs räksallad gatukök,"Natrium, Na",Majonnässallad röror,397.0,mg
52,Räkmajonnäs räksallad gatukök,Monosackarider,Majonnässallad röror,0.0,g
52,Räkmajonnäs räksallad gatukök,"Sockerarter, totalt",Majonnässallad röror,1.2,g
52,Räkmajonnäs räksallad gatukök,Summa enkelomättade fettsyror,Majonnässallad röror,19.6,g
52,Räkmajonnäs räksallad gatukök,"Magnesium, Mg",Majonnässallad röror,14.0,mg
52,Räkmajonnäs räksallad gatukök,Summa mättade fettsyror,Majonnässallad röror,5.7,g
52,Räkmajonnäs räksallad gatukök,"Kolhydrater, tillgängliga",Majonnässallad röror,2.9,g
52,Räkmajonnäs räksallad gatukök,Kolesterol,Majonnässallad röror,101.0,mg
52,Räkmajonnäs räksallad gatukök,"Kalium, K",Majonnässallad röror,30.0,mg
52,Räkmajonnäs räksallad gatukök,"Jod, I",Majonnässallad röror,7.9,µg
52,Räkmajonnäs räksallad gatukök,Fullkorn totalt,Majonnässallad röror,0.0,g
52,Räkmajonnäs räksallad gatukök,"Folat, totalt",Majonnässallad röror,10.0,µg
52,Räkmajonnäs räksallad gatukök,Fibrer,Majonnässallad röror,0.0,g
52,Räkmajonnäs räksallad gatukök,"Fett, totalt",Majonnässallad röror,48.0,g
52,Räkmajonnäs räksallad gatukök,"Järn, Fe",Majonnässallad röror,0.7,mg
52,Räkmajonnäs räksallad gatukök,Energi (kJ),Majonnässallad röror,1914.0,kJ
52,Räkmajonnäs räksallad gatukök,Energi (kcal),Majonnässallad röror,457.0,kcal
52,Räkmajonnäs räksallad gatukök,Disackarider,Majonnässallad röror,1.2,g
52,Räkmajonnäs räksallad gatukök,"Kalcium, Ca",Majonnässallad röror,31.0,mg
52,Räkmajonnäs räksallad gatukök,Fettsyra 4:0-10:0,Majonnässallad röror,0.0,g
52,Räkmajonnäs räksallad gatukök,DHA (C22:6),Majonnässallad röror,0.0,g
52,Räkmajonnäs räksallad gatukök,DPA (C22:5),Majonnässallad röror,0.0,g
52,Räkmajonnäs räksallad gatukök,EPA (C20:5),Majonnässallad röror,0.0,g
52,Räkmajonnäs räksallad gatukök,Arakidonsyra C20:4,Majonnässallad röror,0.0,g
52,Räkmajonnäs räksallad gatukök,Arakidinsyra C20:0,Majonnässallad röror,0.2,g
52,Räkmajonnäs räksallad gatukök,Linolensyra C18:3,Majonnässallad röror,3.6,g
52,Räkmajonnäs räksallad gatukök,Linolsyra C18:2,Majonnässallad röror,16.8,g
52,Räkmajonnäs räksallad gatukök,Oljesyra C18:1,Majonnässallad röror,18.9,g
52,Räkmajonnäs räksallad gatukök,Stearinsyra C18:0,Majonnässallad röror,1.4,g
52,Räkmajonnäs räksallad gatukök,Palmitoljesyra C16:1,Majonnässallad röror,0.1,g
52,Räkmajonnäs räksallad gatukök,Palmitinsyra C16:0,Majonnässallad röror,3.8,g
52,Räkmajonnäs räksallad gatukök,Myristinsyra C14:0,Majonnässallad röror,0.0,g
52,Räkmajonnäs räksallad gatukök,Laurinsyra C12:0,Majonnässallad röror,0.0,g
52,Räkmajonnäs räksallad gatukök,Betakaroten/β-Karoten,Majonnässallad röror,0.0,µg
52,Räkmajonnäs räksallad gatukök,Avfall (skal etc.),Majonnässallad röror,0.0,%
52,Räkmajonnäs räksallad gatukök,Aska,Majonnässallad röror,1.4,g
52,Räkmajonnäs räksallad gatukök,Alkohol,Majonnässallad röror,0.0,g
53,Majonnäs lätt fett 30%,"Zink, Zn",Sås dressing majonnäs ,0.2,mg
53,Majonnäs lätt fett 30%,Vitamin E,Sås dressing majonnäs ,9.2,mg
53,Majonnäs lätt fett 30%,Vitamin D inkl 25-OH-D3,Sås dressing majonnäs ,0.0,µg
53,Majonnäs lätt fett 30%,Vitamin D,Sås dressing majonnäs ,0.0,µg
53,Majonnäs lätt fett 30%,Vitamin C,Sås dressing majonnäs ,0.0,mg
53,Majonnäs lätt fett 30%,Vitamin B6,Sås dressing majonnäs ,0.0,mg
53,Majonnäs lätt fett 30%,Vitamin B12,Sås dressing majonnäs ,0.2,µg
53,Majonnäs lätt fett 30%,Vitamin A,Sås dressing majonnäs ,18.0,RE/µg
53,Majonnäs lätt fett 30%,Vatten,Sås dressing majonnäs ,55.7,g
53,Majonnäs lätt fett 30%,Tiamin,Sås dressing majonnäs ,0.02,mg
53,Majonnäs lätt fett 30%,Tillsatt socker,Sås dressing majonnäs ,4.0,g
53,Majonnäs lätt fett 30%,Fritt socker,Sås dressing majonnäs ,4.0,g
53,Majonnäs lätt fett 30%,"Selen, Se",Sås dressing majonnäs ,0.0,µg
53,Majonnäs lätt fett 30%,Sackaros,Sås dressing majonnäs ,2.7,g
53,Majonnäs lätt fett 30%,Riboflavin,Sås dressing majonnäs ,0.05,mg
53,Majonnäs lätt fett 30%,Retinol,Sås dressing majonnäs ,4.4,µg
53,Majonnäs lätt fett 30%,Protein,Sås dressing majonnäs ,1.5,g
53,Majonnäs lätt fett 30%,Summa fleromättade fettsyror,Sås dressing majonnäs ,8.3,g
53,Majonnäs lätt fett 30%,"Fosfor, P",Sås dressing majonnäs ,41.0,mg
53,Majonnäs lätt fett 30%,Niacinekvivalenter,Sås dressing majonnäs ,0.4,NE/mg
53,Majonnäs lätt fett 30%,Niacin,Sås dressing majonnäs ,0.06,mg
53,Majonnäs lätt fett 30%,"Salt, NaCl",Sås dressing majonnäs ,1.4,g
53,Majonnäs lätt fett 30%,"Natrium, Na",Sås dressing majonnäs ,541.0,mg
53,Majonnäs lätt fett 30%,Monosackarider,Sås dressing majonnäs ,0.0,g
53,Majonnäs lätt fett 30%,"Sockerarter, totalt",Sås dressing majonnäs ,3.9,g
53,Majonnäs lätt fett 30%,Summa enkelomättade fettsyror,Sås dressing majonnäs ,19.0,g
53,Majonnäs lätt fett 30%,"Magnesium, Mg",Sås dressing majonnäs ,5.0,mg
53,Majonnäs lätt fett 30%,Summa mättade fettsyror,Sås dressing majonnäs ,2.1,g
53,Majonnäs lätt fett 30%,"Kolhydrater, tillgängliga",Sås dressing majonnäs ,10.7,g
53,Majonnäs lätt fett 30%,Kolesterol,Sås dressing majonnäs ,21.5,mg
53,Majonnäs lätt fett 30%,"Kalium, K",Sås dressing majonnäs ,93.0,mg
53,Majonnäs lätt fett 30%,"Jod, I",Sås dressing majonnäs ,0.0,µg
53,Majonnäs lätt fett 30%,Fullkorn totalt,Sås dressing majonnäs ,0.0,g
53,Majonnäs lätt fett 30%,"Folat, totalt",Sås dressing majonnäs ,1.6,µg
53,Majonnäs lätt fett 30%,Fibrer,Sås dressing majonnäs ,0.0,g
53,Majonnäs lätt fett 30%,"Fett, totalt",Sås dressing majonnäs ,30.9,g
53,Majonnäs lätt fett 30%,"Järn, Fe",Sås dressing majonnäs ,0.3,mg
53,Majonnäs lätt fett 30%,Energi (kJ),Sås dressing majonnäs ,1350.0,kJ
53,Majonnäs lätt fett 30%,Energi (kcal),Sås dressing majonnäs ,323.0,kcal
53,Majonnäs lätt fett 30%,Disackarider,Sås dressing majonnäs ,3.9,g
53,Majonnäs lätt fett 30%,"Kalcium, Ca",Sås dressing majonnäs ,34.0,mg
53,Majonnäs lätt fett 30%,Fettsyra 4:0-10:0,Sås dressing majonnäs ,0.0,g
53,Majonnäs lätt fett 30%,DHA (C22:6),Sås dressing majonnäs ,0.0,g
53,Majonnäs lätt fett 30%,DPA (C22:5),Sås dressing majonnäs ,0.0,g
53,Majonnäs lätt fett 30%,EPA (C20:5),Sås dressing majonnäs ,0.0,g
53,Majonnäs lätt fett 30%,Arakidonsyra C20:4,Sås dressing majonnäs ,0.0,g
53,Majonnäs lätt fett 30%,Arakidinsyra C20:0,Sås dressing majonnäs ,0.2,g
53,Majonnäs lätt fett 30%,Linolensyra C18:3,Sås dressing majonnäs ,2.6,g
53,Majonnäs lätt fett 30%,Linolsyra C18:2,Sås dressing majonnäs ,5.6,g
53,Majonnäs lätt fett 30%,Oljesyra C18:1,Sås dressing majonnäs ,18.5,g
53,Majonnäs lätt fett 30%,Stearinsyra C18:0,Sås dressing majonnäs ,0.4,g
53,Majonnäs lätt fett 30%,Palmitoljesyra C16:1,Sås dressing majonnäs ,0.1,g
53,Majonnäs lätt fett 30%,Palmitinsyra C16:0,Sås dressing majonnäs ,1.4,g
53,Majonnäs lätt fett 30%,Myristinsyra C14:0,Sås dressing majonnäs ,0.0,g
53,Majonnäs lätt fett 30%,Laurinsyra C12:0,Sås dressing majonnäs ,0.0,g
53,Majonnäs lätt fett 30%,Betakaroten/β-Karoten,Sås dressing majonnäs ,160.0,µg
53,Majonnäs lätt fett 30%,Avfall (skal etc.),Sås dressing majonnäs ,0.0,%
53,Majonnäs lätt fett 30%,Aska,Sås dressing majonnäs ,1.3,g
53,Majonnäs lätt fett 30%,Alkohol,Sås dressing majonnäs ,0.0,g
55,Mimosasallad,"Zink, Zn",Majonnässallad röror,0.1,mg
55,Mimosasallad,Vitamin E,Majonnässallad röror,2.4,mg
55,Mimosasallad,Vitamin D inkl 25-OH-D3,Majonnässallad röror,0.07,µg
55,Mimosasallad,Vitamin D,Majonnässallad röror,0.03,µg
55,Mimosasallad,Vitamin C,Majonnässallad röror,15.7,mg
55,Mimosasallad,Vitamin B6,Majonnässallad röror,0.04,mg
55,Mimosasallad,Vitamin B12,Majonnässallad röror,0.06,µg
55,Mimosasallad,Vitamin A,Majonnässallad röror,43.8,RE/µg
55,Mimosasallad,Vatten,Majonnässallad röror,76.2,g
55,Mimosasallad,Tiamin,Majonnässallad röror,0.07,mg
55,Mimosasallad,Tillsatt socker,Majonnässallad röror,0.0,g
55,Mimosasallad,Fritt socker,Majonnässallad röror,0.0,g
55,Mimosasallad,"Selen, Se",Majonnässallad röror,0.6,µg
55,Mimosasallad,Sackaros,Majonnässallad röror,3.1,g
55,Mimosasallad,Riboflavin,Majonnässallad röror,0.03,mg
55,Mimosasallad,Retinol,Majonnässallad röror,37.2,µg
55,Mimosasallad,Protein,Majonnässallad röror,0.8,g
55,Mimosasallad,Summa fleromättade fettsyror,Majonnässallad röror,1.6,g
55,Mimosasallad,"Fosfor, P",Majonnässallad röror,22.0,mg
55,Mimosasallad,Niacinekvivalenter,Majonnässallad röror,0.53,NE/mg
55,Mimosasallad,Niacin,Majonnässallad röror,0.39,mg
55,Mimosasallad,"Salt, NaCl",Majonnässallad röror,0.4,g
55,Mimosasallad,"Natrium, Na",Majonnässallad röror,161.0,mg
55,Mimosasallad,Monosackarider,Majonnässallad röror,4.8,g
55,Mimosasallad,"Sockerarter, totalt",Majonnässallad röror,8.2,g
55,Mimosasallad,Summa enkelomättade fettsyror,Majonnässallad röror,6.1,g
