nummer,namn,naringsnamn,gruppering,mangd,enhet
2,Gris späck,Vitamin E,"Övrigt fett (ister, talg, kokosfett)",0.7,mg
2,Gris späck,Vitamin D,"Övrigt fett (ister, talg, kokosfett)",0.6,µg
2,Gris späck,Vitamin C,"Övrigt fett (ister, talg, kokosfett)",0.0,mg
2,Gris späck,Vitamin B6,"Övrigt fett (ister, talg, kokosfett)",0.02,mg
2,Gris späck,Vitamin B12,"Övrigt fett (ister, talg, kokosfett)",0.6,µg
2,Gris späck,Vitamin A,"Övrigt fett (ister, talg, kokosfett)",4.0,RE/µg
2,Gris späck,Vatten,"Övrigt fett (ister, talg, kokosfett)",11.1,g
2,Gris späck,Tiamin,"Övrigt fett (ister, talg, kokosfett)",0.05,mg
2,Gris späck,Tillsatt socker,"Övrigt fett (ister, talg, kokosfett)",0.0,g
2,Gris späck,Fritt socker,"Övrigt fett (ister, talg, kokosfett)",0.0,g
2,Gris späck,"Selen, Se","Övrigt fett (ister, talg, kokosfett)",5.0,µg
2,Gris späck,Sackaros,"Övrigt fett (ister, talg, kokosfett)",0.0,g
2,Gris späck,Riboflavin,"Övrigt fett (ister, talg, kokosfett)",0.07,mg
2,Gris späck,Retinol,"Övrigt fett (ister, talg, kokosfett)",4.0,µg
2,Gris späck,Protein,"Övrigt fett (ister, talg, kokosfett)",2.8,g
2,Gris späck,Summa fleromättade fettsyror,"Övrigt fett (ister, talg, kokosfett)",9.0,g
2,Gris späck,"Fosfor, P","Övrigt fett (ister, talg, kokosfett)",26.0,mg
2,Gris späck,Niacinekvivalenter,"Övrigt fett (ister, talg, kokosfett)",1.01,NE/mg
2,Gris späck,Niacin,"Övrigt fett (ister, talg, kokosfett)",0.5,mg
2,Gris späck,"Salt, NaCl","Övrigt fett (ister, talg, kokosfett)",0.0,g
2,Gris späck,"Natrium, Na","Övrigt fett (ister, talg, kokosfett)",11.0,mg
2,Gris späck,Monosackarider,"Övrigt fett (ister, talg, kokosfett)",0.0,g
2,Gris späck,"Sockerarter, totalt","Övrigt fett (ister, talg, kokosfett)",0.0,g
2,Gris späck,Summa enkelomättade fettsyror,"Övrigt fett (ister, talg, kokosfett)",38.5,g
2,Gris späck,"Magnesium, Mg","Övrigt fett (ister, talg, kokosfett)",1.0,mg
2,Gris späck,Summa mättade fettsyror,"Övrigt fett (ister, talg, kokosfett)",32.8,g
2,Gris späck,"Kolhydrater, tillgängliga","Övrigt fett (ister, talg, kokosfett)",0.0,g
2,Gris späck,Kolesterol,"Övrigt fett (ister, talg, kokosfett)",57.0,mg
2,Gris späck,"Kalium, K","Övrigt fett (ister, talg, kokosfett)",65.0,mg
2,Gris späck,"Jod, I","Övrigt fett (ister, talg, kokosfett)",0.0,µg
2,Gris späck,Fullkorn totalt,"Övrigt fett (ister, talg, kokosfett)",0.0,g
2,Gris späck,"Folat, totalt","Övrigt fett (ister, talg, kokosfett)",1.0,µg
2,Gris späck,Fibrer,"Övrigt fett (ister, talg, kokosfett)",0.0,g
2,Gris späck,"Fett, totalt","Övrigt fett (ister, talg, kokosfett)",85.0,g
2,Gris späck,"Järn, Fe","Övrigt fett (ister, talg, kokosfett)",0.2,mg
2,Gris späck,Energi (kJ),"Övrigt fett (ister, talg, kokosfett)",3193.0,kJ
2,Gris späck,Energi (kcal),"Övrigt fett (ister, talg, kokosfett)",763.0,kcal
2,Gris späck,Disackarider,"Övrigt fett (ister, talg, kokosfett)",0.0,g
2,Gris späck,"Kalcium, Ca","Övrigt fett (ister, talg, kokosfett)",4.0,mg
