,Livsmedelsnamn,Livsmedelsnummer,Gruppering,Näringsämne,Värde
0,Nöt talg,1,"Fett, olja",Energi (kcal),656.0
1,Gris späck,2,"Fett, olja",Energi (kcal),763.0
2,Gris ister,3,"Fett, olja",Energi (kcal),884.0
3,Kokosfett,4,"Fett, olja",Energi (kcal),884.0
4,Matfettsblandning havssaltat fett 80% berikad typ Bregott,5,"Fett, olja",Energi (kcal),712.0
5,Matfettsblandning fett 60% berikad typ Bregott mellan,6,"Fett, olja",Energi (kcal),534.0
6,Flytande margarin fett 82% berikad typ Milda culinesse,10,"Fett, olja",Energi (kcal),725.0
7,Hushållsmargarin fett 80% berikad typ Melba,12,"Fett, olja",Energi (kcal),710.0
8,Hushållsmargarin fett 80% berikad typ Milda,13,"Fett, olja",Energi (kcal),712.0
9,Lättmargarin fett 38% berikad typ Becel,17,"Fett, olja",Energi (kcal),348.0
10,Lättmargarin fett 40% berikad typ Lätt & lagom,20,"Fett, olja",Energi (kcal),381.0
11,Majonnäs fett 90% hemlagad,21,Rätter,Energi (kcal),782.0
12,Sesamsås m. grädde,22,Rätter,Energi (kcal),361.0
13,Gravlaxsås hovmästarsås hemlagad,23,Rätter,Energi (kcal),438.0
14,Gravlaxsås kylvara,24,Rätter,Energi (kcal),555.0
15,Remouladsås,25,Rätter,Energi (kcal),707.0
16,Dressing vinägrett fett 45%,26,Rätter,Energi (kcal),406.0
17,Smör fett 80%,29,"Fett, olja",Energi (kcal),729.0
18,Smör extrasaltat fett 80%,30,"Fett, olja",Energi (kcal),728.0
19,Smör osaltat fett 80%,31,"Fett, olja",Energi (kcal),728.0
20,Druvkärnolja,33,"Fett, olja",Energi (kcal),884.0
21,Majsolja,34,"Fett, olja",Energi (kcal),884.0
22,Olivolja,35,"Fett, olja",Energi (kcal),884.0
23,Tistelolja,37,"Fett, olja",Energi (kcal),884.0
24,Sesamolja,38,"Fett, olja",Energi (kcal),884.0
25,Sojaolja,39,"Fett, olja",Energi (kcal),884.0
26,Solrosolja,40,"Fett, olja",Energi (kcal),884.0
27,Vetegroddsolja,41,"Fett, olja",Energi (kcal),884.0
28,Dressing konserv. fett ca 25%,42,Rätter,Energi (kcal),262.0
29,Dressing till sallad m. majonnäs fett ca 25% kylvara,45,Rätter,Energi (kcal),303.0
30,Dressing fett 0%,49,Rätter,Energi (kcal),60.0
31,Majonnäs fett 80%,50,Rätter,Energi (kcal),666.0
32,Gurkmajonnäs gurksallad gatukök,51,Rätter,Energi (kcal),333.0
33,Räkmajonnäs räksallad gatukök,52,Rätter,Energi (kcal),457.0
34,Majonnäs lätt fett 30%,53,Rätter,Energi (kcal),323.0
35,Mimosasallad,55,Rätter,Energi (kcal),147.0
36,Rödbetssallad m. gräddfil hemlagad,56,Rätter,Energi (kcal),64.0
37,Sallad m. skaldjur majonnäsdressing,57,Rätter,Energi (kcal),110.0
38,Bearnaisesås hemlagad,58,Rätter,Energi (kcal),510.0
39,Hollandaisesås hemlagad,59,Rätter,Energi (kcal),500.0
40,Rhode Islandsås hemlagad,60,Rätter,Energi (kcal),356.0
41,Dressing vinägrett fett 65%,62,Rätter,Energi (kcal),586.0
42,Bearnaisesås tillagad frysvara el. pulver,63,Rätter,Energi (kcal),224.0
43,Hollandaisesås tillagad frysvara el. pulver,64,Rätter,Energi (kcal),232.0
44,Mesost fett ca 30%,66,Pålägg,Energi (kcal),460.0
45,Messmör fett 5% berikad,68,Pålägg,Energi (kcal),260.0
46,Messmör fett 2% berikad,69,Pålägg,Energi (kcal),245.0
47,Färskost cottage cheese naturell fett 4%,70,Pålägg,Energi (kcal),100.0
48,Färskost cottage cheese m. frukt fett 3%,71,Pålägg,Energi (kcal),105.0
49,"Färskost cottage cheese m. grönsaker fett 3,5-5%",72,Pålägg,Energi (kcal),94.0
50,Färskost m. filmjölk fett ca 8%,73,Pålägg,Energi (kcal),119.0
51,Färskost m. filmjölk gräddfil fett ca 14% hemlagad,74,Pålägg,Energi (kcal),178.0
52,Kvarg färskost fett 1%,75,Mejeri,Energi (kcal),75.0
53,Kvarg färskost fett 10%,76,Mejeri,Energi (kcal),152.0
54,Ost hårdost fett 10%,77,Pålägg,Energi (kcal),226.0
55,Ost hårdost fett 23%,78,Pålägg,Energi (kcal),325.0
56,Ost hårdost fett 26%,79,Pålägg,Energi (kcal),337.0
57,Ost hårdost fett 38%,80,Pålägg,Energi (kcal),420.0
58,Vitmögelost camembert fett ca 22%,81,Pålägg,Energi (kcal),280.0
59,Ädelost blågrön mögelost fett 30%,82,Pålägg,Energi (kcal),336.0
60,Mjukost smältost fett 8%,83,Pålägg,Energi (kcal),135.0
61,Mjukost smältost fett 10%,84,Pålägg,Energi (kcal),154.0
62,Mjukost smältost fett ca 20%,85,Pålägg,Energi (kcal),246.0
63,Mjukost smältost fett ca 16%,86,Pålägg,Energi (kcal),194.0
64,Mjukost smältost fett 4%,87,Pålägg,Energi (kcal),117.0
65,Vitmögelost brie fett ca 38%,92,Pålägg,Energi (kcal),374.0
66,Ädelost grönmögelost fett 17%,93,Pålägg,Energi (kcal),315.0
67,Salladsost fett 22%,94,Pålägg,Energi (kcal),272.0
68,Ost hårdost fett 17%,95,Pålägg,Energi (kcal),287.0
69,Ost hårdost fett 28%,96,Pålägg,Energi (kcal),358.0
70,Ost hårdost fett 31%,97,Pålägg,Energi (kcal),392.0
71,Vitmögelost brie fett 30%,98,Pålägg,Energi (kcal),348.0
72,Ost halloumi rå fett 22%,100,Pålägg,Energi (kcal),292.0
73,Färskost fett 33%,101,Pålägg,Energi (kcal),343.0
74,Ädelost blågrön mögelost fett över 40%,102,Pålägg,Energi (kcal),432.0
75,Ost hårdost parmesan fett 30% typ Parmiggiano Reggiano,103,Pålägg,Energi (kcal),428.0
76,Färskost m. vitlök fett 35%,104,Pålägg,Energi (kcal),340.0
77,Vitmögelost camembert fett 11%,105,Pålägg,Energi (kcal),185.0
78,Färskost cream cheese fett 27%,107,Pålägg,Energi (kcal),276.0
79,Färskost cream cheese lätt fett 15%,108,Pålägg,Energi (kcal),187.0
80,Färskost cream cheese extra light fett 5%,109,Pålägg,Energi (kcal),116.0
81,Vitmögelost camembert friterad,110,Pålägg,Energi (kcal),320.0
82,Vitmögelost getost chèvre fett 25%,111,Pålägg,Energi (kcal),345.0
83,Bröstmjölk humanmjölk,113,Mejeri,Energi (kcal),68.0
84,Filmjölk fett 3% berikad,114,Mejeri,Energi (kcal),57.0
85,Kondenserad mjölk konserv. fett ca 8%,115,Mejeri,Energi (kcal),136.0
86,Kondenserad mjölk konserv. konc. m. socker fett ca 9%,116,Mejeri,Energi (kcal),334.0
87,Mjölkpulver fett 1%,118,Mejeri,Energi (kcal),365.0
88,Filmjölk långfil fett 3% berikad,119,Mejeri,Energi (kcal),60.0
89,"Lättfil fett 0,5% berikad",120,Mejeri,Energi (kcal),39.0
90,Milkshake choklad jordgubb,122,Dryck,Energi (kcal),84.0
91,Mjölk fett 3% berikad,123,Mejeri,Energi (kcal),60.0
92,Yoghurt naturell fett 3% berikad,124,Mejeri,Energi (kcal),56.0
93,"Fruktyoghurt lätt fett 0,5% berikad",126,Mejeri,Energi (kcal),76.0
94,"Mjölk fett 4,2% typ lantmjölk",127,Mejeri,Energi (kcal),70.0
95,Filmjölk A-fil fett 3% berikad,128,Mejeri,Energi (kcal),60.0
96,"Mellanfil fett 1,5% berikad",130,Mejeri,Energi (kcal),48.0
97,"Mjölkdryck jordgubb fett 1,5% berikad",133,Dryck,Energi (kcal),50.0
98,"Yoghurt naturell lätt fett 0,5% berikad",135,Mejeri,Energi (kcal),39.0
99,Fruktyoghurt fett 2%,136,Mejeri,Energi (kcal),75.0
100,Fruktyoghurt delikatessyoghurt fett 7%,137,Mejeri,Energi (kcal),129.0
101,Kefir fett 3% berikad,142,Mejeri,Energi (kcal),60.0
102,"Yoghurt mild vanilj lätt fett 0,5% berikad",147,Mejeri,Energi (kcal),59.0
103,Yoghurt mild vanilj fett 2%,148,Mejeri,Energi (kcal),70.0
104,"Mellanmjölk fett 1,5% berikad",150,Mejeri,Energi (kcal),47.0
105,"Lättmjölk fett 0,5% berikad",151,Mejeri,Energi (kcal),39.0
106,Vassle flytande,152,Övrigt,Energi (kcal),25.0
107,Filbunke m. grädde,154,Mejeri,Energi (kcal),75.0
108,Varm choklad m. mjölk fett 3%,156,Dryck,Energi (kcal),77.0
109,"Varm choklad m. mjölk fett 1,5%",157,Dryck,Energi (kcal),64.0
110,"Varm choklad m. mjölk fett 0,5%",158,Dryck,Energi (kcal),56.0
111,Smoothie m. yoghurt bär banan juice,160,Dryck,Energi (kcal),56.0
112,"Hårt bröd fullkorn råg fibrer 15,5% typ Husman",162,Bröd,Energi (kcal),354.0
113,Hårt bröd fullkorn råg fibrer ca 18% typ Ryvita mörkt,163,Bröd,Energi (kcal),349.0
114,"Hårt bröd fullkorn vete m. vallmofrö fibrer 5,5%",164,Bröd,Energi (kcal),398.0
115,"Hårt bröd fullkorn råg fibrer 14,5% typ Vika",165,Bröd,Energi (kcal),345.0
116,Hårt bröd fullkorn råg fibrer 16% typ Finn crisp,166,Bröd,Energi (kcal),348.0
117,Hårt bröd fullkorn råg fibrer ca 15% typ flatbröd,167,Bröd,Energi (kcal),362.0
118,Hårt bröd glutenfritt fibrer ca 7%,168,Bröd,Energi (kcal),346.0
119,Hårt bröd fullkorn råg fibrer ca 13%,169,Bröd,Energi (kcal),353.0
120,Hårt bröd fullkorn råg kli fibrer ca 15%,170,Bröd,Energi (kcal),349.0
121,Hårt bröd fullkorn råg fibrer ca 14% typ rutknäcke,171,Bröd,Energi (kcal),356.0
122,"Hårt bröd fullkorn råg fibrer 15,5% typ brungräddat",172,Bröd,Energi (kcal),350.0
123,Hårt bröd fullkorn råg fibrer ca 16% typ sport,173,Bröd,Energi (kcal),341.0
124,Hårt bröd fullkorn råg m. sesamfrö vetekli vetegroddar fibrer 24%,174,Bröd,Energi (kcal),355.0
125,"Hårt bröd fullkorn råg fibrer 15,5% typ delikatess",175,Bröd,Energi (kcal),351.0
126,Hårt bröd fullkorn havre vete råg m. mjölk fibrer 8%,178,Bröd,Energi (kcal),379.0
127,Hårt bröd vete m. vallmofrö fibrer 6% typ frukost,180,Bröd,Energi (kcal),406.0
128,Hårt bröd vete m. socker kanel fibrer ca 7%,181,Bröd,Energi (kcal),398.0
129,Hårt bröd glutenfritt fibrer ca 3%,182,Bröd,Energi (kcal),385.0
130,"Hårt bröd fullkorn vete havre kli m. socker örtkryddor fibrer 10,5%",183,Bröd,Energi (kcal),390.0
131,Bröd fullkorn korn fibrer 3%,185,Bröd,Energi (kcal),239.0
132,Bröd vitt fullkorn graham typ scones,186,Bröd,Energi (kcal),285.0
133,Bröd fullkorn råg fibrer ca 10% typ pumpernickel,187,Bröd,Energi (kcal),221.0
134,Ströbröd malt hårt bröd fullkorn vete råg socker fibrer ca 5%,188,Mjöl,Energi (kcal),402.0
135,Hårt bröd fullkorn råg fibrer ca 14% typ normalgräddat,190,Bröd,Energi (kcal),349.0
136,Hårt bröd fullkorn råg vete majs m. surdeg fibrer 15% typ spisbröd,191,Bröd,Energi (kcal),335.0
137,"Bröd vitt vete vatten fibrer ca 3,5% typ pitabröd",193,Bröd,Energi (kcal),274.0
138,Korvbröd,194,Bröd,Energi (kcal),285.0
139,Hårt bröd fullkorn råg fibrer ca 14% typ brungräddat,195,Bröd,Energi (kcal),354.0
140,"Bröd vitt osötat fibrer ca 2,5% typ italienskt",198,Bröd,Energi (kcal),256.0
141,"Bröd vitt vete fibrer ca 2,5% typ baguette",200,Bröd,Energi (kcal),270.0
142,"Bröd vitt fullkorn surdeg fibrer 4,4% bakad i butik typ grov baguette",201,Bröd,Energi (kcal),260.0
143,"Bröd vitt fibrer 3,5%",202,Bröd,Energi (kcal),284.0
144,Bröd vitt mjölk fibrer ca 3% typ Hönökaka,204,Bröd,Energi (kcal),293.0
145,Bröd vitt vete typ scones,205,Bröd,Energi (kcal),287.0
146,Bröd vitt vete ojäst fibrer 3% typ chapati,206,Bröd,Energi (kcal),257.0
147,Bröd fullkorn rågsikt fibrer ca 7% typ kavring,207,Bröd,Energi (kcal),270.0
148,"Bröd osötat rågsikt fibrer ca 3,5%",208,Bröd,Energi (kcal),261.0
149,Bröd rågsikt fibrer ca 4%,209,Bröd,Energi (kcal),266.0
150,Bröd fullkorn graham m. mjölk fibrer ca 5%,210,Bröd,Energi (kcal),279.0
151,Bröd fullkorn råg typ rallarhalvor,213,Bröd,Energi (kcal),246.0
152,Bröd fullkorn råg osötat fibrer ca 5%,214,Bröd,Energi (kcal),239.0
153,Hårt bröd tunnbröd fullkorn vete råg korn havre,216,Bröd,Energi (kcal),353.0
154,Bröd vitt mjukt m. mjölk fibrer ca 4% typ tunnbröd,217,Bröd,Energi (kcal),280.0
155,Bröd fullkorn råg m. potatis fibrer ca 5% ,219,Bröd,Energi (kcal),258.0
156,Bröd vitt vatten fibrer ca 3% typ ostfralla,222,Bröd,Energi (kcal),274.0
157,Riskaka fullkorn solrosfrön majs fett 4% ,224,Bröd,Energi (kcal),394.0
158,Riskaka fullkorn smaksatt fett 18% ,225,Bröd,Energi (kcal),461.0
159,Bröd vitt glutenfritt,226,Bröd,Energi (kcal),238.0
160,Bröd mörkt glutenfritt,227,Bröd,Energi (kcal),269.0
161,Bröd vitt typ croissant fransk giffel,229,Bröd,Energi (kcal),363.0
162,Potatis höst rå,230,Potatis,Energi (kcal),81.0
163,Potatis höst kokt m. salt,231,Potatis,Energi (kcal),85.0
164,Potatis m. skal bakad u. salt,233,Potatis,Energi (kcal),91.0
165,Potatis m. skal bakad u. salt i aluminiumfolie ,234,Potatis,Energi (kcal),89.0
166,Potatis tärnad frysvara,235,Potatis,Energi (kcal),81.0
167,Färskpotatis kokt u. salt,236,Potatis,Energi (kcal),71.0
168,Potatis konserv. u. lag,237,Potatis,Energi (kcal),60.0
169,Klyftpotatis u. skal ugnsstekt m. rapsolja,238,Potatis,Energi (kcal),120.0
170,Potatis råstekt,241,Potatis,Energi (kcal),141.0
171,Potatis kokt stekt m. salt,242,Potatis,Energi (kcal),145.0
172,Pommes frites friterad potatis värmd i ugn fett ca 7% frysvara,244,Potatis,Energi (kcal),216.0
173,Pommes frites friterad potatis fett ca 11% frysvara,245,Potatis,Energi (kcal),243.0
174,Pommes frites friterad potatis fett ca 17% tillagad på restaurang,246,Potatis,Energi (kcal),352.0
175,Kroppkakor el. potatispalt m. fläsk,248,Rätter,Energi (kcal),169.0
176,Sjömansbiff hemlagad,250,Rätter,Energi (kcal),90.0
177,Lapskojs,252,Rätter,Energi (kcal),110.0
178,Pitepalt,253,Rätter,Energi (kcal),180.0
179,Bakad potatis m. kycklingcurryröra sallad,254,Rätter,Energi (kcal),156.0
180,Pytt i panna tillagad frysvara,255,Rätter,Energi (kcal),196.0
181,Sjömansbiff frysvara,256,Rätter,Energi (kcal),84.0
182,Janssons frestelse,257,Rätter,Energi (kcal),161.0
183,Laxpudding,258,Rätter,Energi (kcal),111.0
184,Sillpudding,259,Rätter,Energi (kcal),125.0
185,Bakad potatis m. skagenröra sallad,260,Rätter,Energi (kcal),159.0
186,Potatissallad m. gräddfil majonnäs,261,Rätter,Energi (kcal),154.0
187,Potatissoppa m. purjolök,262,Rätter,Energi (kcal),49.0
188,Pytt i panna m. rotfrukt svamp veg.,263,Rätter,Energi (kcal),82.0
189,Potatissallad m. vinägrettsås,264,Rätter,Energi (kcal),113.0
190,Potatispalt,266,Rätter,Energi (kcal),141.0
191,Potatis råstuvad hemlagad,268,Rätter,Energi (kcal),78.0
192,Potatisgratäng m. mjölk kaffegrädde ost hemlagad,270,Rätter,Energi (kcal),139.0
193,Raggmunk potatisplätt potatispannkaka hemlagad,271,Rätter,Energi (kcal),149.0
194,Potatis stuvad,272,Rätter,Energi (kcal),95.0
195,Potatisbullar stekta,273,Rätter,Energi (kcal),167.0
196,Potatismos hemlagad,274,Rätter,Energi (kcal),87.0
197,Potatisgratäng m. mjölk ost hemlagad,275,Rätter,Energi (kcal),106.0
198,Potatisgratäng m. vispgrädde ost,277,Rätter,Energi (kcal),214.0
199,Potatismos m. lättmjölk,278,Rätter,Energi (kcal),86.0
200,Potatisgratäng m. lättmjölk ost mager hemlagad,279,Rätter,Energi (kcal),97.0
201,Bakad potatis m. färskoströra paprika veg.,280,Rätter,Energi (kcal),93.0
202,Schweizisk potatiskaka rösti värmd frysvara,281,Rätter,Energi (kcal),214.0
203,Potatiskrokett värmd frysvara,282,Rätter,Energi (kcal),177.0
204,Potatisgratäng m. grädde ost värmd frysvara,284,Rätter,Energi (kcal),158.0
205,Grönsaksblandning m. morot palsternacka purjolök rotselleri frysvara,286,"Grönsaker, baljväxter, svamp",Energi (kcal),36.0
206,Jordärtskocka,287,"Grönsaker, baljväxter, svamp",Energi (kcal),67.0
207,Kålrot,288,"Grönsaker, baljväxter, svamp",Energi (kcal),37.0
208,Morot,289,"Grönsaker, baljväxter, svamp",Energi (kcal),36.0
209,Palsternacka,290,"Grönsaker, baljväxter, svamp",Energi (kcal),71.0
210,Pepparrot,291,"Grönsaker, baljväxter, svamp",Energi (kcal),70.0
211,Rotselleri,292,"Grönsaker, baljväxter, svamp",Energi (kcal),32.0
212,Rädisa,293,"Grönsaker, baljväxter, svamp",Energi (kcal),11.0
213,Rödbeta,294,"Grönsaker, baljväxter, svamp",Energi (kcal),51.0
214,Rättika,295,"Grönsaker, baljväxter, svamp",Energi (kcal),18.0
215,Rotpersilja,296,"Grönsaker, baljväxter, svamp",Energi (kcal),61.0
216,Majrova,297,"Grönsaker, baljväxter, svamp",Energi (kcal),35.0
217,Svartrot,298,"Grönsaker, baljväxter, svamp",Energi (kcal),75.0
218,Morot konserv. m. lag,299,"Grönsaker, baljväxter, svamp",Energi (kcal),23.0
219,Morot konserv. u. lag,300,"Grönsaker, baljväxter, svamp",Energi (kcal),23.0
220,Morotsjuice,301,Dryck,Energi (kcal),34.0
221,Rotmos hemlagad,302,Rätter,Energi (kcal),52.0
222,Jordärtskockssoppa veg. ,304,Rätter,Energi (kcal),76.0
223,Morot kokt m. salt,305,"Grönsaker, baljväxter, svamp",Energi (kcal),36.0
224,Morot stuvad,306,Rätter,Energi (kcal),83.0
225,Morotssoppa veg. ,307,Rätter,Energi (kcal),35.0
226,Ärtsoppa m. morot veg. ,308,Rätter,Energi (kcal),69.0
227,Jordärtskocka kokt m. salt,310,"Grönsaker, baljväxter, svamp",Energi (kcal),67.0
228,Rotfrukter stekta glacerade m. honung,314,Rätter,Energi (kcal),94.0
229,Grönsaksbiff rotfruktsbiff stekt veg.,315,Rätter,Energi (kcal),115.0
230,Rödbeta kokt u. salt,316,"Grönsaker, baljväxter, svamp",Energi (kcal),51.0
231,Borsjtj rödbetssoppa,317,Rätter,Energi (kcal),30.0
232,Rödbeta inlagd u. lag,319,"Grönsaker, baljväxter, svamp",Energi (kcal),58.0
233,Avokado,320,"Grönsaker, baljväxter, svamp",Energi (kcal),197.0
234,Stjälkselleri,321,"Grönsaker, baljväxter, svamp",Energi (kcal),19.0
235,Blomkål,322,"Grönsaker, baljväxter, svamp",Energi (kcal),24.0
236,Blomkål frysvara,323,"Grönsaker, baljväxter, svamp",Energi (kcal),24.0
237,Bondbönor färska kokta u. salt,324,"Grönsaker, baljväxter, svamp",Energi (kcal),102.0
238,Broccoli,325,"Grönsaker, baljväxter, svamp",Energi (kcal),40.0
239,Broccoli frysvara,326,"Grönsaker, baljväxter, svamp",Energi (kcal),24.0
240,Brysselkål,327,"Grönsaker, baljväxter, svamp",Energi (kcal),44.0
241,Brysselkål frysvara,328,"Grönsaker, baljväxter, svamp",Energi (kcal),41.0
242,Mungbönsgroddar,329,"Grönsaker, baljväxter, svamp",Energi (kcal),34.0
243,Sojabönsgroddar,330,"Grönsaker, baljväxter, svamp",Energi (kcal),146.0
244,Gröna bönor,331,"Grönsaker, baljväxter, svamp",Energi (kcal),27.0
245,Gröna bönor frysvara,332,"Grönsaker, baljväxter, svamp",Energi (kcal),35.0
246,Champinjon,333,"Grönsaker, baljväxter, svamp",Energi (kcal),27.0
247,Friséesallat,334,"Grönsaker, baljväxter, svamp",Energi (kcal),17.0
248,Endivesallat,335,"Grönsaker, baljväxter, svamp",Energi (kcal),14.0
249,Fänkål,336,"Grönsaker, baljväxter, svamp",Energi (kcal),28.0
250,Grönkål,337,"Grönsaker, baljväxter, svamp",Energi (kcal),40.0
251,Grönkål frysvara,338,"Grönsaker, baljväxter, svamp",Energi (kcal),30.0
252,Gurka,339,"Grönsaker, baljväxter, svamp",Energi (kcal),13.0
253,Isbergssallat,340,"Grönsaker, baljväxter, svamp",Energi (kcal),14.0
254,Kronärtskocka,342,"Grönsaker, baljväxter, svamp",Energi (kcal),52.0
255,Kålrabbi,343,"Grönsaker, baljväxter, svamp",Energi (kcal),29.0
256,Lök gul,344,"Grönsaker, baljväxter, svamp",Energi (kcal),39.0
257,Majskolv,345,"Grönsaker, baljväxter, svamp",Energi (kcal),125.0
258,Majskolv frysvara,346,"Grönsaker, baljväxter, svamp",Energi (kcal),111.0
259,Majskorn frysvara,347,"Grönsaker, baljväxter, svamp",Energi (kcal),99.0
260,Mangold,348,"Grönsaker, baljväxter, svamp",Energi (kcal),21.0
261,Nässlor förvällda,349,"Grönsaker, baljväxter, svamp",Energi (kcal),30.0
262,Paprika grön,350,"Grönsaker, baljväxter, svamp",Energi (kcal),18.0
263,Paprika röd,351,"Grönsaker, baljväxter, svamp",Energi (kcal),22.0
264,Persilja blad,352,"Grönsaker, baljväxter, svamp",Energi (kcal),78.0
265,Pumpa,353,"Grönsaker, baljväxter, svamp",Energi (kcal),26.0
266,Purjolök,354,"Grönsaker, baljväxter, svamp",Energi (kcal),30.0
267,Rödkål,355,"Grönsaker, baljväxter, svamp",Energi (kcal),31.0
268,Savojkål,357,"Grönsaker, baljväxter, svamp",Energi (kcal),28.0
269,Salladskål,358,"Grönsaker, baljväxter, svamp",Energi (kcal),21.0
270,Sockerärtor,359,"Grönsaker, baljväxter, svamp",Energi (kcal),37.0
271,Spenat frysvara,361,"Grönsaker, baljväxter, svamp",Energi (kcal),20.0
272,Squash,362,"Grönsaker, baljväxter, svamp",Energi (kcal),14.0
273,Tomat,364,"Grönsaker, baljväxter, svamp",Energi (kcal),18.0
274,Tomat torkad m. olja,365,"Grönsaker, baljväxter, svamp",Energi (kcal),190.0
275,Trädgårdskrasse,366,"Grönsaker, baljväxter, svamp",Energi (kcal),37.0
276,Vattenkrasse,367,"Grönsaker, baljväxter, svamp",Energi (kcal),15.0
277,Vaxbönor,368,"Grönsaker, baljväxter, svamp",Energi (kcal),32.0
278,Vaxbönor frysvara,369,"Grönsaker, baljväxter, svamp",Energi (kcal),29.0
279,Vitkål,370,"Grönsaker, baljväxter, svamp",Energi (kcal),30.0
280,Vitlök,371,"Grönsaker, baljväxter, svamp",Energi (kcal),128.0
281,Aubergine,372,"Grönsaker, baljväxter, svamp",Energi (kcal),19.0
282,Gröna ärtor frysvara,374,"Grönsaker, baljväxter, svamp",Energi (kcal),69.0
283,Alfalfagroddar,376,"Grönsaker, baljväxter, svamp",Energi (kcal),32.0
284,Dill färsk,377,"Grönsaker, baljväxter, svamp",Energi (kcal),58.0
285,Gräslök,378,"Grönsaker, baljväxter, svamp",Energi (kcal),28.0
286,Basilika färsk,379,"Grönsaker, baljväxter, svamp",Energi (kcal),25.0
287,Chilipeppar färsk,380,"Grönsaker, baljväxter, svamp",Energi (kcal),49.0
288,Paprika gul,381,"Grönsaker, baljväxter, svamp",Energi (kcal),24.0
289,Paprika grön röd frysvara,382,"Grönsaker, baljväxter, svamp",Energi (kcal),26.0
290,Champinjon skivad frysvara,383,"Grönsaker, baljväxter, svamp",Energi (kcal),19.0
291,Linsgroddar,384,"Grönsaker, baljväxter, svamp",Energi (kcal),125.0
292,Lök gul frysvara,385,"Grönsaker, baljväxter, svamp",Energi (kcal),28.0
293,Grönsaksblandning m. ärtor bönor majs morot typ amerikansk frysvara,386,"Grönsaker, baljväxter, svamp",Energi (kcal),68.0
294,Grönsaksblandning m. ärtor bönor morot blomkål typ sommargrönsaker frysvara,387,"Grönsaker, baljväxter, svamp",Energi (kcal),38.0
295,Grönsaksblandning m. ärtor morot frysvara,388,"Grönsaker, baljväxter, svamp",Energi (kcal),60.0
296,Grönsaksblandning m. ärtor majs paprika frysvara,389,"Grönsaker, baljväxter, svamp",Energi (kcal),66.0
297,Sallad m. grönsallat gurka tomat u. dressing,390,"Grönsaker, baljväxter, svamp",Energi (kcal),16.0
298,Paprika grön gul röd,392,"Grönsaker, baljväxter, svamp",Energi (kcal),22.0
299,Bambuskott konserv. u. lag,393,"Grönsaker, baljväxter, svamp",Energi (kcal),24.0
300,Gröna bönor konserv. u. lag,395,"Grönsaker, baljväxter, svamp",Energi (kcal),21.0
301,Champinjon konserv. m. lag,397,"Grönsaker, baljväxter, svamp",Energi (kcal),15.0
302,Majskorn konserv. u. lag,400,"Grönsaker, baljväxter, svamp",Energi (kcal),80.0
303,Oliver gröna m. paprikafyllning avrunna,401,"Grönsaker, baljväxter, svamp",Energi (kcal),128.0
304,Oliver svarta m. olja avrunna,402,"Grönsaker, baljväxter, svamp",Energi (kcal),142.0
305,Grönsaksblandning el. pickels sockrad inlagd u. lag,403,"Grönsaker, baljväxter, svamp",Energi (kcal),116.0
306,Sparris vit konserv. u. lag,404,"Grönsaker, baljväxter, svamp",Energi (kcal),15.0
307,Sparrissoppa tillagad redd konserv. veg.,405,Rätter,Energi (kcal),35.0
308,Surkål konserv. m. lag,406,"Grönsaker, baljväxter, svamp",Energi (kcal),17.0
309,Tomat hel konserv. m. lag,407,"Grönsaker, baljväxter, svamp",Energi (kcal),25.0
310,Tomatjuice konserv. drickf.,408,Dryck,Energi (kcal),18.0
311,Tomatpuré konc. konserv.,410,"Grönsaker, baljväxter, svamp",Energi (kcal),84.0
312,Vaxbönor konserv. u. lag,411,"Grönsaker, baljväxter, svamp",Energi (kcal),24.0
313,Gröna ärtor konserv. m. lag,412,"Grönsaker, baljväxter, svamp",Energi (kcal),63.0
314,Gröna ärtor konserv. u. lag,413,"Grönsaker, baljväxter, svamp",Energi (kcal),60.0
315,Mungbönsgroddar konserv. u. lag,414,"Grönsaker, baljväxter, svamp",Energi (kcal),16.0
316,Sojabönsgroddar konserv. u. lag,415,"Grönsaker, baljväxter, svamp",Energi (kcal),16.0
317,Paprikasallad inlagd u. lag,416,Rätter,Energi (kcal),31.0
318,Ajvar relish,417,Rätter,Energi (kcal),70.0
319,Svamp konserv. u. lag,418,"Grönsaker, baljväxter, svamp",Energi (kcal),23.0
320,Kantarell konserv. u. lag,419,"Grönsaker, baljväxter, svamp",Energi (kcal),36.0
321,Syltlök inlagd,420,"Grönsaker, baljväxter, svamp",Energi (kcal),83.0
322,Tomater gröna syltade,421,"Grönsaker, baljväxter, svamp",Energi (kcal),86.0
323,Tomat krossad konserv. m. lag,422,"Grönsaker, baljväxter, svamp",Energi (kcal),22.0
324,Fefferoni konserv. inlagd,423,"Grönsaker, baljväxter, svamp",Energi (kcal),19.0
325,Wokgrönsaker Asiatiska wokade m. rapsolja,424,"Grönsaker, baljväxter, svamp",Energi (kcal),49.0
326,Wokgrönsaker Classic wokade m. rapsolja,425,"Grönsaker, baljväxter, svamp",Energi (kcal),47.0
327,Grönsaksblandning ärtor morot konserv. m. lag,426,"Grönsaker, baljväxter, svamp",Energi (kcal),41.0
328,Grönsaksjuice konserv. el. pastöriserad drickf.,427,Dryck,Energi (kcal),19.0
329,Champinjon konserv. u. lag,428,"Grönsaker, baljväxter, svamp",Energi (kcal),18.0
330,Pumpasallad m. paprika inlagd sockrad u. lag,429,"Grönsaker, baljväxter, svamp",Energi (kcal),64.0
