,Livsmedelsnamn,Livsmedelsnummer,Gruppering,Näringsämne,Värde
82122,Pastasås m. kyckling paprika,6457,Rätter,DHA (C22:6) (g),0.0
82123,Pastagratäng Rossini m. kycklingfärs ananas paprika squash tomat purjolök,6458,Rätter,DHA (C22:6) (g),0.0
82124,Köttfärssås Vivaldi nöt m. squash majs paprika rödlök ost,6459,Rätter,DHA (C22:6) (g),0.0
82125,Chiapudding,6461,Rätter,DHA (C22:6) (g),0.0
82126,Korv stroganoff hemlagad,6462,Rätter,DHA (C22:6) (g),0.0
82127,Lasagne hemlagad,6463,Rätter,DHA (C22:6) (g),0.0
82128,Pizza Funghi m. champinjoner restaurang,6466,Rätter,DHA (C22:6) (g),0.0
82129,Havremjöl fullkorn,6468,Mjöl,DHA (C22:6) (g),0.0
82130,Vitlökssås m. örter hemlagad,6469,Rätter,DHA (C22:6) (g),0.0
82131,Öring Sverige höst rå ,6478,"Fisk, skaldjur",DHA (C22:6) (g),1.3
82132,Taco tortilla m. köttfärs grönsaker ost,6479,Rätter,DHA (C22:6) (g),0.0
82133,Kornflingor ångprep. fullkorn,6480,"Pasta, ris, gryn",DHA (C22:6) (g),0.0
82134,Rågflingor ångprep. fullkorn,6481,"Flingor, frukostflingor, müsli, gröt, välling",DHA (C22:6) (g),0.0
82135,Veteflingor ångprep. fullkorn,6482,"Flingor, frukostflingor, müsli, gröt, välling",DHA (C22:6) (g),0.0
82136,Dinkelmjöl,6494,Mjöl,DHA (C22:6) (g),0.0
82137,Grönsaksbiff jordnötsbiff tillagad veg.,6506,Rätter,DHA (C22:6) (g),0.0
82138,Vitlökssås fetthalt ca 10%,6514,Rätter,DHA (C22:6) (g),0.0
82139,Vetemjöl durum,6542,Mjöl,DHA (C22:6) (g),0.0
82140,Modersmjölksersättning,6552,Övrigt,DHA (C22:6) (g),0.0
82141,Tillskottsnäring för småbarn,6553,Övrigt,DHA (C22:6) (g),0.0
82142,Mjölblandning vete korn råg havre,6574,Mjöl,DHA (C22:6) (g),0.0
82143,Mjölblandning rågsikt,6576,Mjöl,DHA (C22:6) (g),0.0
82144,"Varm choklad m. veg. dryck fett ca 1,5%",6599,Dryck,DHA (C22:6) (g),0.0
82145,Pizza Vesuvio m. skinka restaurang,6624,Rätter,DHA (C22:6) (g),0.0
82146,Pizza Capricciosa m. skinka champinjoner restaurang,6625,Rätter,DHA (C22:6) (g),0.0
82147,Pizza m. kött restaurang,6628,Rätter,DHA (C22:6) (g),0.0
82148,Pizza Bussola m. skinka räkor restaurang,6629,Rätter,DHA (C22:6) (g),0.0
82149,Pizza m. köttfärs restaurang,6630,Rätter,DHA (C22:6) (g),0.0
82150,Pizza m. ost restaurang,6632,Rätter,DHA (C22:6) (g),0.0
82151,Rapsolja berikad,6651,"Fett, olja",DHA (C22:6) (g),0.0
82152,Muskotnöt malen,6666,Smaksättare,DHA (C22:6) (g),0.0
82153,Fisksås,6675,Smaksättare,DHA (C22:6) (g),0.0
82154,Durra el. andra sorghumarter mjöl,6676,"Pasta, ris, gryn",DHA (C22:6) (g),0.0
82155,Amarant mjöl,6677,Mjöl,DHA (C22:6) (g),
82156,Kiwi gul,6678,"Frukt, bär",DHA (C22:6) (g),0.0
82157,Sojasås shoyu,6682,Smaksättare,DHA (C22:6) (g),0.0
82158,Pizzadeg tillagad hemlagad,6695,Rätter,DHA (C22:6) (g),0.0
82159,Insalata Caprese,6701,"Grönsaker, baljväxter, svamp",DHA (C22:6) (g),0.0
82160,Waldorfsallad,6702,Rätter,DHA (C22:6) (g),0.0
82161,Jordnötter m. chokladöverdrag,6703,Godis,DHA (C22:6) (g),0.0
82162,Chokladkex m. vaniljfyllning,6704,"Bullar, kakor, tårtor",DHA (C22:6) (g),0.0
82163,Risotto m. kyckling spenat,6705,Rätter,DHA (C22:6) (g),0.0
82164,Pannkaka tunn u. mjölk ägg,6750,Rätter,DHA (C22:6) (g),0.0
82165,Bröd rågsikt fibrer ca 4% typ rågkaka,6757,Bröd,DHA (C22:6) (g),0.0
82166,Sött vetebröd kanelbulle gräddad kylvara frysvara el. butiksbakad,6758,"Bullar, kakor, tårtor",DHA (C22:6) (g),0.0
82167,Bröd fröbröd fullkorn vete råg,6759,Bröd,DHA (C22:6) (g),0.0
82168,Pizza m. tomatsås ost restaurang,6760,Rätter,DHA (C22:6) (g),0.0
82169,Pizzadeg tillagad kylvara,6761,Bröd,DHA (C22:6) (g),0.0
82170,Pommes frites smaksatta tillagad frysvara,6762,Rätter,DHA (C22:6) (g),0.0
82171,Frukostflingor vete puffat m. choklad,6763,"Flingor, frukostflingor, müsli, gröt, välling",DHA (C22:6) (g),0.0
82172,Frukostflingor granola m. frukt nötter,6764,"Flingor, frukostflingor, müsli, gröt, välling",DHA (C22:6) (g),0.0
82173,Frukostflingor granola m. kakao hallon,6765,"Flingor, frukostflingor, müsli, gröt, välling",DHA (C22:6) (g),0.0
82174,Majskaka smaksatt ost,6766,Bröd,DHA (C22:6) (g),0.0
82175,Linskaka smaksatt,6767,Bröd,DHA (C22:6) (g),0.0
82176,Kex bokstavskex fullkorn,6768,"Bullar, kakor, tårtor",DHA (C22:6) (g),0.0
82177,Pepparkaksdeg kylvara,6769,Övrigt,DHA (C22:6) (g),0.0
82178,Bröd vitt croissant gräddad kylvara frysvara el. butiksbakad,6770,"Bullar, kakor, tårtor",DHA (C22:6) (g),0.0
